campaign_id,campaign_name,product_id,channel_id,objective,start_date,end_date,budget
1,Retention - Engage Scalable Markets,8,6,Retention ,22/03/2025,06/05/2025,28604.69
2,Retention - Re-Intermediate Vertical E-Commerce,10,1,Retention ,26/10/2024,25/11/2024,91305.86
3,Brand Awareness - Seize Extensible Info-Mediaries,4,4,Brand Awareness ,02/12/2025,16/12/2025,26818.48
4,Retention - Harness Cutting-Edge Portals,3,1,Retention ,01/12/2024,30/01/2025,145371.08
5,Brand Awareness - Grow Global Applications,2,1,Brand Awareness ,19/10/2024,18/11/2024,69773.61
6,Retention - Deploy E-Business Paradigms,2,5,Retention ,11/01/2025,12/03/2025,77720.1
7,Upsell - Re-Intermediate Proactive Networks,7,5,Upsell ,16/05/2026,06/06/2026,40765.5
8,Acquisition - Leverage Back-End Vortals,10,2,Acquisition ,17/07/2025,16/08/2025,73289.24
9,Upsell - Mesh One-To-One Portals,3,2,Upsell ,25/08/2024,15/09/2024,100977.48
10,Brand Awareness - Repurpose Seamless Systems,3,1,Brand Awareness ,26/11/2025,25/01/2026,113920.68
11,Retention - E-Enable 24/365 E-Markets,6,3,Retention ,14/08/2024,28/09/2024,114310.87
12,Acquisition - Envisioneer One-To-One Models,5,1,Acquisition ,21/07/2024,04/08/2024,88794.21
13,Brand Awareness - Brand Value-Added Communities,9,4,Brand Awareness ,27/08/2024,17/09/2024,136132.17
14,Acquisition - Leverage Open-Source Vortals,6,2,Acquisition ,15/11/2024,15/12/2024,123524.14
15,Reactivation - Aggregate Strategic Solutions,7,6,Reactivation ,14/04/2026,29/05/2026,114771.98
16,Acquisition - Evolve Customized E-Markets,2,6,Acquisition ,11/01/2025,12/03/2025,13062.8
17,Acquisition - Reinvent Proactive Networks,1,2,Acquisition ,24/11/2024,08/01/2025,5997.3
18,Upsell - Re-Contextualize Innovative Models,6,4,Upsell ,16/03/2025,15/05/2025,35804.86
19,Acquisition - Innovate Robust Platforms,1,4,Acquisition ,02/04/2025,01/06/2025,101210.92
20,Acquisition - Grow Robust Convergence,6,6,Acquisition ,15/04/2025,30/05/2025,64623.64
21,Upsell - Empower Frictionless Schemas,4,3,Upsell ,08/01/2026,22/01/2026,63348.91
22,Acquisition - Aggregate Best-Of-Breed E-Tailers,7,5,Acquisition ,04/10/2024,03/11/2024,133265.1
23,Reactivation - Re-Intermediate Wireless E-Business,10,1,Reactivation ,28/12/2025,18/01/2026,134856.61
24,Reactivation - Transform Proactive Users,9,6,Reactivation ,02/10/2025,16/11/2025,136830.41
25,Upsell - Benchmark Cutting-Edge Experiences,9,3,Upsell ,08/11/2024,07/01/2025,50512.32
26,Acquisition - Seize User-Centric Platforms,4,3,Acquisition ,23/10/2025,06/11/2025,105203.09
27,Brand Awareness - Streamline Enterprise Technologies,8,2,Brand Awareness ,20/10/2024,03/11/2024,44386.81
